model,N,max_VIF,mean_VIF
H1H2_group_diff,509,1.4739506808482519,1.2041640557228324
H1H2_group_fe,510,1.4629219764631207,1.188924955669955
H3_cet1,348,1.273330938152821,1.1602830303763532
H3_lcr,280,1.0656547100554923,1.0475300081471492
H3_slr,335,1.0321576268906185,1.0194567380222082
H1H2_adl,510,1.0318405571367972,1.0161638635234305
H1H2_first_diff,509,1.0137193427379472,1.010957359375501
H1H2_baseline,510,1.0016477853986385,1.0012802380463992
