bank,date,var_99_gaussian
bny,2015-03-31,5.5
statestreet,2015-03-31,7.022
goldmansachs,2014-12-31,108.90256942384428
morganstanley,2014-12-31,66.47299692104781
jpmorgan,2014-12-31,60.81572058734161
citigroup,2014-12-31,120.0
bankofamerica,2014-12-31,59.0
wellsfargo,2014-12-31,21.0
bny,2014-12-31,5.5
statestreet,2014-12-31,8.281
goldmansachs,2014-09-30,93.34505950615224
morganstanley,2014-09-30,59.40140150391506
jpmorgan,2014-09-30,50.915487003355764
citigroup,2014-09-30,121.0
bankofamerica,2014-09-30,56.0
wellsfargo,2014-09-30,17.0
bny,2014-09-30,6.0
statestreet,2014-09-30,6.455
goldmansachs,2014-06-30,108.90256942384428
morganstanley,2014-06-30,67.88731600447436
jpmorgan,2014-06-30,77.7875495884602
citigroup,2014-06-30,59.0
bankofamerica,2014-06-30,59.0
wellsfargo,2014-06-30,24.0
bny,2014-06-30,7.9
statestreet,2014-06-30,6.912
goldmansachs,2014-03-31,115.97416484097702
morganstanley,2014-03-31,70.71595417132745
jpmorgan,2014-03-31,59.40140150391506
citigroup,2014-03-31,156.0
bankofamerica,2014-03-31,59.0
wellsfargo,2014-03-31,24.0
bny,2014-03-31,9.0
statestreet,2014-03-31,5.13
goldmansachs,2013-12-31,120.21712209125667
morganstanley,2013-12-31,74.9589114216071
jpmorgan,2013-12-31,62.230039670768164
citigroup,2013-12-31,144.0
bankofamerica,2013-12-31,99.0
wellsfargo,2013-12-31,23.0
bny,2013-12-31,8.2
statestreet,2013-12-31,5.13
goldmansachs,2013-09-30,114.55984575755048
morganstanley,2013-09-30,79.20186867188676
jpmorgan,2013-09-30,63.64435875419471
citigroup,2013-09-30,117.0
bankofamerica,2013-09-30,54.0
wellsfargo,2013-09-30,18.0
bny,2013-09-30,11.3
statestreet,2013-09-30,5.13
goldmansachs,2013-06-30,121.63144117468322
morganstanley,2013-06-30,86.2734640890195
jpmorgan,2013-06-30,56.572763337061964
citigroup,2013-06-30,120.0
bankofamerica,2013-06-30,69.0
wellsfargo,2013-06-30,15.0
bny,2013-06-30,11.3
statestreet,2013-06-30,5.13
goldmansachs,2013-03-31,117.38848392440357
morganstanley,2013-03-31,87.68778317244605
jpmorgan,2013-03-31,87.68778317244605
citigroup,2013-03-31,110.0
bankofamerica,2013-03-31,80.0
wellsfargo,2013-03-31,24.0
bny,2013-03-31,13.0
statestreet,2013-03-31,5.13
goldmansachs,2012-12-31,100.41665492328498
morganstanley,2012-12-31,106.07393125699119
jpmorgan,2012-12-31,138.6032701758018
citigroup,2012-12-31,137.0
bankofamerica,2012-12-31,100.0
wellsfargo,2012-12-31,18.0
bny,2012-12-31,10.5
statestreet,2012-12-31,5.13
goldmansachs,2012-09-30,114.55984575755048
morganstanley,2012-09-30,101.83097400671153
jpmorgan,2012-09-30,172.546928178039
citigroup,2012-09-30,129.0
bankofamerica,2012-09-30,54.8
wellsfargo,2012-09-30,19.0
bny,2012-09-30,12.6
statestreet,2012-09-30,5.13
goldmansachs,2012-06-30,120.21712209125667
morganstanley,2012-06-30,107.48825034041774
jpmorgan,2012-06-30,106.07393125699119
citigroup,2012-06-30,149.0
bankofamerica,2012-06-30,62.5
wellsfargo,2012-06-30,31.0
bny,2012-06-30,10.0
statestreet,2012-06-30,5.13
goldmansachs,2012-03-31,134.36031292552215
morganstanley,2012-03-31,110.31688850727083
jpmorgan,2012-03-31,114.55984575755048
citigroup,2012-03-31,178.0
bankofamerica,2012-03-31,84.1
wellsfargo,2012-03-31,32.0
bny,2012-03-31,9.0
statestreet,2012-03-31,5.13
